filename,algorithm,GQS,oo_nni,sp_ch_a,gs_bb_iar,nm_dm_imse,eb_rsdd,node_overlaps,area_size,avg_node_size
pa_1000_10,gtree,0.6545,0.0246,71.9858,1.0357,10507.2522,0.5518,0,1000000.0,1000.0
pa_1000_10,pfs,0.6009,0.0,129.4308,1.7028,13330.2607,0.2273,0,1000000.0,1000.0
pa_1000_10,pfsp,0.7031,0.0,68.0637,1.0419,5195.6547,0.1771,0,1000000.0,1000.0
pa_1000_10,prism,0.6346,0.0108,33.4234,1.2454,3081.9992,0.3756,0,1000000.0,1000.0
pa_1000_10,rwordle,0.6008,0.2162,13.1981,1.1219,19908.4366,1.2061,0,1000000.0,1000.0
pa_1000_10,scale,0.7859,0.0,314.6941,1.0608,0.0,0.0,0,1000000.0,1000.0
pa_1000_10,vpsc,0.4479,0.0237,8.6717,4.6007,1459.9414,0.8312,0,1000000.0,1000.0
pa_1000_11,gtree,0.5726,0.0429,79.2205,1.2109,10471.3086,1.2069,0,1000000.0,1000.0
pa_1000_11,pfs,0.5892,0.0,133.8807,1.6602,7444.0765,0.3284,0,1000000.0,1000.0
pa_1000_11,pfsp,0.6617,0.0,78.7109,1.0844,7279.674,0.3854,0,1000000.0,1000.0
pa_1000_11,prism,0.6119,0.011,36.3319,1.2025,1931.4376,0.6447,0,1000000.0,1000.0
pa_1000_11,rwordle,0.5614,0.2152,14.3102,1.1779,19259.7919,1.9458,0,1000000.0,1000.0
pa_1000_11,scale,0.7859,0.0,30836.8731,1.0601,0.0,0.0,0,1000000.0,1000.0
pa_1000_11,vpsc,0.4357,0.0244,9.096,4.833,1313.3613,0.9655,0,1000000.0,1000.0
pa_1000_12,gtree,0.631,0.0384,54.2911,1.0944,13726.9953,0.6707,0,1000000.0,1000.0
pa_1000_12,pfs,0.5852,0.0,119.9364,1.6978,20121.7277,0.3336,0,1000000.0,1000.0
pa_1000_12,pfsp,0.6699,0.0,61.6995,1.0435,9835.626,0.3934,0,1000000.0,1000.0
pa_1000_12,prism,0.6136,0.0141,28.8145,1.1839,4049.2691,0.6676,0,1000000.0,1000.0
pa_1000_12,rwordle,0.581,0.2092,10.6713,1.2153,17870.8889,1.2718,0,1000000.0,1000.0
pa_1000_12,scale,0.7882,0.0,32062.2143,1.0497,0.0,0.0,0,1000000.0,1000.0
pa_1000_12,vpsc,0.4516,0.036,7.5166,4.2908,1561.7521,0.8541,0,1000000.0,1000.0
pa_1000_13,gtree,0.6151,0.0293,64.7712,1.1217,9060.1392,0.7864,0,1000000.0,1000.0
pa_1000_13,pfs,0.5614,0.0,134.402,1.7889,8992.1937,0.4601,0,1000000.0,1000.0
pa_1000_13,pfsp,0.6232,0.0,74.5399,1.1667,6896.0516,0.5804,0,1000000.0,1000.0
