type;n;m;iteration;algorithm;oo_nni;sp_ch_a;gs_bb_iar;nm_dm_imse;eb_rsdd
pa;1000;4985;10;gtree;0.02463163163163163;71.98579947827331;1.0356541606541607;10507.252155964792;0.551825
pa;1000;4985;10;pfs;0;129.4307868488456;1.7028495364279412;13330.260728159508;0.227341
pa;1000;4985;10;pfsp;0;68.06372594657539;1.0418742926639752;5195.654694929507;0.177122
pa;1000;4985;10;prism;0.010769769769769769;33.42342028068086;1.245429471063487;3081.9992270096495;0.375592
pa;1000;4985;10;rwordle;0.2161931931931932;13.198063823636533;1.1219122023809525;19908.43664256259;1.206078
pa;1000;4985;10;scale;0;314.69408093152555;1.0607886904761905;0;0
pa;1000;4985;10;vpsc;0.023665665665665667;8.671698596494812;4.600694444444445;1459.9413679872946;0.831232
pa;1000;5979;11;gtree;0.04293993993993994;79.22054955396256;1.2108708688699361;10471.30858203621;1.2069
pa;1000;5979;11;pfs;0;133.88066393238174;1.660239071634238;7444.076461913359;0.328421
pa;1000;5979;11;pfsp;0;78.71087582488427;1.0843688002506005;7279.673966937684;0.385419
pa;1000;5979;11;prism;0.010984984984984986;36.33192105917171;1.202461518046709;1931.4375850327303;0.644693
pa;1000;5979;11;rwordle;0.21524224224224225;14.310161799385492;1.1778961066553355;19259.791872705162;1.945825
pa;1000;5979;11;scale;0;30836.873064139218;1.0601179006499233;1.6975503762953653e-19;0
pa;1000;5979;11;vpsc;0.02443043043043043;9.09597095252141;4.833022388059701;1313.3612907859665;0.965502
pa;1000;3990;12;gtree;0.03843643643643643;54.291074538836114;1.0944146467755014;13726.995318491507;0.670665
pa;1000;3990;12;pfs;0;119.9363527264723;1.6977753078895004;20121.727733947962;0.333632
pa;1000;3990;12;pfsp;0;61.699519485600554;1.0434731188094417;9835.626043411745;0.393403
pa;1000;3990;12;prism;0.01407907907907908;28.8144941927419;1.1838742652696141;4049.269134838428;0.667599
pa;1000;3990;12;rwordle;0.20917317317317316;10.671315672219615;1.215262321144674;17870.8889055578;1.271752
pa;1000;3990;12;scale;0;32062.214268979595;1.049747392273792;1.7837403131049022e-19;0
pa;1000;3990;12;vpsc;0.036014014014014016;7.516605989332701;4.290849673202614;1561.752077813522;0.854084
pa;1000;4985;13;gtree;0.02925125125125125;64.77123691350876;1.1216596343178622;9060.139202000559;0.78638
pa;1000;4985;13;pfs;0;134.4019985553537;1.788881062379581;8992.193706647147;0.460062
pa;1000;4985;13;pfsp;0;74.53989063309822;1.1667349050917237;6896.051574543379;0.580365
pa;1000;4985;13;prism;0.021702702702702702;33.58536297779926;1.283883135148958;2421.004937077145;0.956634
pa;1000;4985;13;rwordle;0.21136636636636635;12.664139709748424;1.103227389863787;19133.494377571984;1.25325
pa;1000;4985;13;scale;0;31367.94589254859;1.0655896526754725;1.726578790967812e-19;0
pa;1000;4985;13;vpsc;0.02556156156156156;7.975079477437098;4.494827586206896;1095.640070173623;0.872699
pa;1000;4985;14;gtree;0.023531531531531532;63.24534030987687;1.0835665643094285;4149.013516425791;0.775317
pa;1000;4985;14;pfs;0;134.10100808688387;1.7493405085997678;11257.863002392673;0.400617
pa;1000;4985;14;pfsp;0;72.95952979008645;1.0895369924018088;5748.743837189652;0.504351
pa;1000;4985;14;prism;0.021451451451451452;36.420732841797005;1.210303893637227;1901.7022295549243;0.817699
pa;1000;4985;14;rwordle;0.21522722722722723;13.426270337684157;1.1241859760714827;19919.783695125454;1.712021
pa;1000;4985;14;scale;0;31082.67733333687;1.0659001769618446;1.7472229360386482e-19;0
pa;1000;4985;14;vpsc;0.03847047047047047;8.763302740959857;4.623239436619718;2704.7858263767075;1.132674
