filename,algorithm,GQS
pa_1000_10,gtree,0.855
pa_1000_10,pfs,0.782
pa_1000_10,pfsp,0.861
pa_1000_10,prism,0.824
pa_1000_10,rwordle,0.842
pa_1000_10,scale,0.905
pa_1000_10,vpsc,0.699
pa_1000_11,gtree,0.818
pa_1000_11,pfs,0.782
pa_1000_11,pfsp,0.848
pa_1000_11,prism,0.825
pa_1000_11,rwordle,0.828
pa_1000_11,scale,0.905
pa_1000_11,vpsc,0.695
pa_1000_12,gtree,0.843
pa_1000_12,pfs,0.779
pa_1000_12,pfsp,0.855
pa_1000_12,prism,0.828
pa_1000_12,rwordle,0.827
pa_1000_12,scale,0.907
pa_1000_12,vpsc,0.703
pa_1000_13,gtree,0.836
pa_1000_13,pfs,0.77
pa_1000_13,pfsp,0.83
pa_1000_13,prism,0.811
pa_1000_13,rwordle,0.844
pa_1000_13,scale,0.904
pa_1000_13,vpsc,0.7
pa_1000_14,gtree,0.842
pa_1000_14,pfs,0.774
pa_1000_14,pfsp,0.844
pa_1000_14,prism,0.822
pa_1000_14,rwordle,0.838
pa_1000_14,scale,0.904
pa_1000_14,vpsc,0.696
pa_1000_15,gtree,0.846
pa_1000_15,pfs,0.769
pa_1000_15,pfsp,0.832
pa_1000_15,prism,0.823
pa_1000_15,rwordle,0.839
pa_1000_15,scale,0.904
pa_1000_15,vpsc,0.698
pa_1000_16,gtree,0.861
pa_1000_16,pfs,0.778
pa_1000_16,pfsp,0.843
pa_1000_16,prism,0.814
pa_1000_16,rwordle,0.841
pa_1000_16,scale,0.904
pa_1000_16,vpsc,0.699
pa_1000_17,gtree,0.826
pa_1000_17,pfs,0.768
pa_1000_17,pfsp,0.827
pa_1000_17,prism,0.805
pa_1000_17,rwordle,0.847
pa_1000_17,scale,0.903
pa_1000_17,vpsc,0.687
pa_1000_18,gtree,0.852
pa_1000_18,pfs,0.771
pa_1000_18,pfsp,0.83
pa_1000_18,prism,0.815
pa_1000_18,rwordle,0.842
pa_1000_18,scale,0.904
pa_1000_18,vpsc,0.697
pa_1000_19,gtree,0.831
pa_1000_19,pfs,0.771
pa_1000_19,pfsp,0.837
pa_1000_19,prism,0.809
pa_1000_19,rwordle,0.845
pa_1000_19,scale,0.903
pa_1000_19,vpsc,0.695
pa_1000_1,gtree,0.853
pa_1000_1,pfs,0.782
pa_1000_1,pfsp,0.852
pa_1000_1,prism,0.838
pa_1000_1,rwordle,0.841
pa_1000_1,scale,0.905
pa_1000_1,vpsc,0.697
pa_1000_20,gtree,0.842
pa_1000_20,pfs,0.772
pa_1000_20,pfsp,0.839
pa_1000_20,prism,0.818
pa_1000_20,rwordle,0.85
pa_1000_20,scale,0.903
pa_1000_20,vpsc,0.693
pa_1000_21,gtree,0.837
