filename,algorithm,score
pa_1000_10,GTREE,0.41
pa_1000_10,PFS,0.299
pa_1000_10,PFS',0.42
pa_1000_10,PRISM,0.369
pa_1000_10,RWordle-L,0.407
pa_1000_10,SCALE,0.483
pa_1000_10,VPSC,0.202
pa_1000_11,GTREE,0.356
pa_1000_11,PFS,0.3
pa_1000_11,PFS',0.4
pa_1000_11,PRISM,0.37
pa_1000_11,RWordle-L,0.384
pa_1000_11,SCALE,0.482
pa_1000_11,VPSC,0.195
pa_1000_12,GTREE,0.394
pa_1000_12,PFS,0.296
pa_1000_12,PFS',0.412
pa_1000_12,PRISM,0.376
pa_1000_12,RWordle-L,0.39
pa_1000_12,SCALE,0.485
pa_1000_12,VPSC,0.213
pa_1000_13,GTREE,0.383
pa_1000_13,PFS,0.282
pa_1000_13,PFS',0.374
pa_1000_13,PRISM,0.349
pa_1000_13,RWordle-L,0.411
pa_1000_13,SCALE,0.481
pa_1000_13,VPSC,0.206
pa_1000_14,GTREE,0.393
pa_1000_14,PFS,0.288
pa_1000_14,PFS',0.395
pa_1000_14,PRISM,0.365
pa_1000_14,RWordle-L,0.4
pa_1000_14,SCALE,0.481
pa_1000_14,VPSC,0.198
pa_1000_15,GTREE,0.398
pa_1000_15,PFS,0.281
pa_1000_15,PFS',0.377
pa_1000_15,PRISM,0.368
pa_1000_15,RWordle-L,0.404
pa_1000_15,SCALE,0.482
pa_1000_15,VPSC,0.205
pa_1000_16,GTREE,0.42
pa_1000_16,PFS,0.294
pa_1000_16,PFS',0.393
pa_1000_16,PRISM,0.353
pa_1000_16,RWordle-L,0.407
pa_1000_16,SCALE,0.482
pa_1000_16,VPSC,0.201
pa_1000_17,GTREE,0.369
pa_1000_17,PFS,0.278
pa_1000_17,PFS',0.369
pa_1000_17,PRISM,0.34
pa_1000_17,RWordle-L,0.413
pa_1000_17,SCALE,0.48
pa_1000_17,VPSC,0.183
pa_1000_18,GTREE,0.407
pa_1000_18,PFS,0.283
pa_1000_18,PFS',0.374
pa_1000_18,PRISM,0.356
pa_1000_18,RWordle-L,0.407
pa_1000_18,SCALE,0.481
pa_1000_18,VPSC,0.201
pa_1000_19,GTREE,0.375
pa_1000_19,PFS,0.284
pa_1000_19,PFS',0.385
pa_1000_19,PRISM,0.346
pa_1000_19,RWordle-L,0.411
pa_1000_19,SCALE,0.48
pa_1000_19,VPSC,0.197
pa_1000_1,GTREE,0.409
pa_1000_1,PFS,0.299
pa_1000_1,PFS',0.406
pa_1000_1,PRISM,0.39
pa_1000_1,RWordle-L,0.405
pa_1000_1,SCALE,0.483
pa_1000_1,VPSC,0.197
pa_1000_20,GTREE,0.392
pa_1000_20,PFS,0.285
pa_1000_20,PFS',0.387
pa_1000_20,PRISM,0.358
pa_1000_20,RWordle-L,0.419
pa_1000_20,SCALE,0.48
pa_1000_20,VPSC,0.193
pa_1000_21,GTREE,0.384
pa_1000_21,PFS,0.291
pa_1000_21,PFS',0.393
pa_1000_21,PRISM,0.368
pa_1000_21,RWordle-L,0.421
pa_1000_21,SCALE,0.484
pa_1000_21,VPSC,0.214
pa_1000_22,GTREE,0.413
pa_1000_22,PFS,0.288
pa_1000_22,PFS',0.389
pa_1000_22,PRISM,0.367
pa_1000_22,RWordle-L,0.418
pa_1000_22,SCALE,0.484
pa_1000_22,VPSC,0.211
pa_1000_23,GTREE,0.397
pa_1000_23,PFS,0.285
pa_1000_23,PFS',0.379
pa_1000_23,PRISM,0.349
pa_1000_23,RWordle-L,0.417
pa_1000_23,SCALE,0.482
