filename,algorithm,score
pa_10_10,initial,0.0
pa_10_10,SCALE,0.913
pa_10_10,PFS,0.867
pa_10_10,PFS',0.895
pa_10_10,FTA,0.913
pa_10_10,VPSC,0.933
pa_10_10,PRISM,0.882
pa_10_10,GTREE,0.873
pa_10_10,RWordle-L,0.911
pa_10_11,initial,0.0
pa_10_11,SCALE,0.933
pa_10_11,PFS,0.884
pa_10_11,PFS',0.905
pa_10_11,FTA,0.905
pa_10_11,VPSC,0.921
pa_10_11,PRISM,0.87
pa_10_11,GTREE,0.866
pa_10_11,RWordle-L,0.908
pa_10_12,initial,0.0
pa_10_12,SCALE,0.951
pa_10_12,PFS,0.933
pa_10_12,PFS',0.939
pa_10_12,FTA,0.899
pa_10_12,VPSC,0.939
pa_10_12,PRISM,0.893
pa_10_12,GTREE,0.903
pa_10_12,RWordle-L,0.911
pa_10_13,initial,0.0
pa_10_13,SCALE,0.913
pa_10_13,PFS,0.867
pa_10_13,PFS',0.895
pa_10_13,FTA,0.913
pa_10_13,VPSC,0.933
pa_10_13,PRISM,0.882
pa_10_13,GTREE,0.873
pa_10_13,RWordle-L,0.911
pa_10_14,initial,0.0
pa_10_14,SCALE,0.913
pa_10_14,PFS,0.867
pa_10_14,PFS',0.895
pa_10_14,FTA,0.913
pa_10_14,VPSC,0.933
pa_10_14,PRISM,0.882
pa_10_14,GTREE,0.873
pa_10_14,RWordle-L,0.911
pa_10_15,initial,0.0
pa_10_15,SCALE,0.951
pa_10_15,PFS,0.933
pa_10_15,PFS',0.939
pa_10_15,FTA,0.899
pa_10_15,VPSC,0.939
pa_10_15,PRISM,0.893
pa_10_15,GTREE,0.903
pa_10_15,RWordle-L,0.911
pa_10_16,initial,0.0
pa_10_16,SCALE,0.913
pa_10_16,PFS,0.867
pa_10_16,PFS',0.895
pa_10_16,FTA,0.913
pa_10_16,VPSC,0.933
pa_10_16,PRISM,0.882
pa_10_16,GTREE,0.873
pa_10_16,RWordle-L,0.911
pa_10_17,initial,0.0
pa_10_17,SCALE,0.933
pa_10_17,PFS,0.884
pa_10_17,PFS',0.905
pa_10_17,FTA,0.905
pa_10_17,VPSC,0.921
pa_10_17,PRISM,0.87
pa_10_17,GTREE,0.866
pa_10_17,RWordle-L,0.908
pa_10_18,initial,0.0
pa_10_18,SCALE,0.913
pa_10_18,PFS,0.867
pa_10_18,PFS',0.895
pa_10_18,FTA,0.913
pa_10_18,VPSC,0.933
pa_10_18,PRISM,0.882
pa_10_18,GTREE,0.873
pa_10_18,RWordle-L,0.911
pa_10_19,initial,0.0
pa_10_19,SCALE,0.933
pa_10_19,PFS,0.884
pa_10_19,PFS',0.905
pa_10_19,FTA,0.905
pa_10_19,VPSC,0.921
pa_10_19,PRISM,0.87
pa_10_19,GTREE,0.866
pa_10_19,RWordle-L,0.908
pa_10_1,initial,0.0
pa_10_1,SCALE,0.919
pa_10_1,PFS,0.883
pa_10_1,PFS',0.891
pa_10_1,FTA,0.919
pa_10_1,VPSC,0.921
pa_10_1,PRISM,0.875
pa_10_1,GTREE,0.875
pa_10_1,RWordle-L,0.911
pa_10_20,initial,0.0
